1-t,2-t,label
-74.99873,-20.684166,late_19th-century_style
-62.05466,-75.35068,early_19th-century_style
-86.89709,-60.03278,18th-century_style
-27.71321,3.7982335,revival
-72.01446,4.01094,late_19th-century_style
-82.04676,-56.345676,18th-century_style
-73.41989,-35.702324,late_19th-century_style
-79.88196,-63.609165,contemporary
-62.51149,-60.067505,early_19th-century_style
-65.68253,-67.63035,late_19th-century_style
-87.24611,-61.610203,18th-century_style
-61.610165,-24.613646,early_19th-century_style
-1.6587284,-68.744995,contemporary
-48.81418,-6.40923,postwar
-92.32084,-27.173481,revival
-81.4315,-48.710384,18th-century_style
13.069858,2.5131257,contemporary
-52.597157,-29.1479,early_19th-century_style
-53.75289,-4.5113993,late_19th-century_style
-88.77872,-55.324963,18th-century_style
-88.77872,-55.324963,18th-century_style
-77.18973,-57.19742,18th-century_style
-58.020805,-3.0348167,late_19th-century_style
-62.55866,-42.871128,late_19th-century_style
-60.670822,-42.323643,late_19th-century_style
-62.65721,-49.048367,late_19th-century_style
-52.27589,-47.89794,contemporary
-75.01159,-61.130623,contemporary
-48.373547,-13.627155,contemporary
-67.787285,-43.85223,late_19th-century_style
-40.898033,-15.108336,early_19th-century_style
-81.32256,-42.77715,late_19th-century_style
-65.34383,-64.07423,contemporary
-83.34834,-64.47338,18th-century_style
-62.05466,-75.35068,early_19th-century_style
-86.9099,-60.02896,18th-century_style
-71.04629,-68.368385,contemporary
-71.0218,-40.886166,late_19th-century_style
-45.426605,-63.722744,contemporary
-80.100235,-56.558216,18th-century_style
-80.27658,-54.928764,18th-century_style
-73.0363,-53.873707,18th-century_style
-82.93332,-48.429153,18th-century_style
-78.404945,-53.711037,late_19th-century_style
-86.17095,-51.772923,18th-century_style
-72.98098,-53.87622,18th-century_style
-73.834404,-50.681374,18th-century_style
-86.147675,-51.78551,18th-century_style
-48.11499,-3.3895004,late_19th-century_style
-56.665474,-59.821846,postwar
-56.75383,-59.811207,early_19th-century_style
-27.167173,-25.89489,early_19th-century_style
-56.876587,-74.45639,early_19th-century_style
-80.0672,-54.034035,18th-century_style
-80.06731,-54.032974,18th-century_style
-71.0089,-40.87734,late_19th-century_style
-85.69878,-62.02939,18th-century_style
-43.571514,-41.254185,contemporary
-65.52555,-65.774826,late_19th-century_style
-64.20471,-65.5224,contemporary
-81.24135,-48.007103,18th-century_style
-81.24135,-48.007103,18th-century_style
1.6057541,-75.40339,contemporary
1.6057541,-75.40339,contemporary
-45.759705,-3.895933,late_19th-century_style
-84.52199,-46.547203,18th-century_style
-53.01726,-57.338417,late_19th-century_style
-68.219986,-19.225433,late_19th-century_style
-70.317375,-5.4640117,late_19th-century_style
-84.84623,-54.366,18th-century_style
-72.04814,-51.640457,late_19th-century_style
-72.04934,-51.64065,late_19th-century_style
-88.10516,-49.484932,18th-century_style
-88.10516,-49.484932,18th-century_style
-18.016506,-63.116196,revival
-66.13903,-81.569336,early_19th-century_style
-76.00185,-55.729717,contemporary
-28.504766,-52.125496,early_19th-century_style
-95.494965,-35.387493,early_19th-century_style
-67.41922,-65.03797,late_19th-century_style
-76.8498,-56.389645,18th-century_style
-52.298058,-54.044243,late_19th-century_style
-78.316986,-44.62171,18th-century_style
-80.66402,-56.411213,18th-century_style
-45.85709,-65.25077,late_19th-century_style
-78.94515,-45.584595,18th-century_style
-68.778984,-34.507637,late_19th-century_style
-83.22631,-56.007637,18th-century_style
-43.69558,-10.086849,contemporary
-44.494934,-8.306113,contemporary
-44.471687,-8.350782,contemporary
-86.20373,-53.94425,18th-century_style
-85.310684,-57.62202,18th-century_style
-65.4379,-35.457344,late_19th-century_style
-92.735115,-38.44616,early_19th-century_style
-53.023445,-57.344654,late_19th-century_style
-86.36004,-58.220657,18th-century_style
-85.46926,-57.39783,18th-century_style
