1-t,2-t,label
16.082762,108.952835,1911–1943
77.1576,-23.799706,1911–1943
59.745323,-54.310608,1911–1943
3.4576147,37.961422,1944–1977
50.06114,-6.8242364,1911–1943
21.177147,-7.168629,1911–1943
-103.67932,13.122511,1995–2023
-72.31163,85.87883,1995–2023
-11.120987,-10.835695,1911–1943
-13.641752,-52.217525,1846–1910
101.85105,-27.470686,1911–1943
12.942889,-37.352493,1911–1943
38.542553,74.96017,1995–2023
-8.387589,-29.353033,1978–1994
-69.66206,-31.47535,1846–1910
-10.988711,-77.69787,1846–1910
54.651726,83.11576,1911–1943
11.183247,-84.39832,1846–1910
-71.48082,20.49976,1978–1994
-91.432724,57.714817,1995–2023
3.8399432,-74.877495,1846–1910
-38.9979,55.551804,1995–2023
-21.73712,-0.36793056,1846–1910
-10.591289,-19.90017,1846–1910
3.1900318,-96.81864,1846–1910
-16.518333,-6.9655247,1846–1910
-13.636486,-64.72758,1846–1910
-10.108369,-52.69603,1846–1910
-32.034405,-22.563913,1846–1910
-58.462566,14.6431465,1978–1994
-3.9342716,30.951445,1944–1977
-20.912048,-37.93607,1846–1910
24.314825,86.107666,1944–1977
-80.07523,-50.37823,1706–1764
6.5733066,30.09277,1944–1977
79.5875,75.02353,1911–1943
-16.864038,-19.514683,1846–1910
49.358772,-42.078083,1911–1943
-8.712566,1.9166802,1911–1943
-76.427895,-68.15426,1653–1705
76.13056,-60.036243,1911–1943
-14.6226425,4.039418,1846–1910
60.696907,14.522134,1911–1943
-27.874435,-82.477165,1846–1910
-64.597115,-7.92935,1978–1994
-41.207287,82.83612,1995–2023
90.9343,10.452255,1911–1943
-0.669235,75.597435,1944–1977
84.6169,30.155521,1911–1943
84.346886,57.5514,1911–1943
4.2146635,-20.206478,1995–2023
23.448353,-79.58474,1846–1910
75.67774,-10.864224,1911–1943
-37.51358,39.922134,1995–2023
66.886444,-9.880575,1911–1943
32.030766,-54.06007,1911–1943
-48.12061,-43.415062,1765–1845
34.61352,42.615124,1911–1943
-62.00589,-24.673147,pre-1652
-8.486182,-43.20842,1846–1910
55.362724,58.30423,1911–1943
-33.032146,-29.861485,1846–1910
66.96313,15.511946,1911–1943
36.69134,-44.481316,1911–1943
32.034756,-10.337925,1911–1943
-5.6610227,-38.313107,1978–1994
58.643337,20.877602,1911–1943
-15.57773,49.368164,1944–1977
-19.692997,54.0453,1944–1977
-19.973948,-31.569315,1846–1910
-36.01268,77.35888,1995–2023
-8.601947,37.321804,1944–1977
-22.275126,58.908928,1944–1977
1.0723671,4.7049236,1911–1943
89.79035,-19.628693,1911–1943
-19.03975,29.182419,1944–1977
94.403404,-12.96175,1911–1943
-51.866913,-71.06457,pre-1652
48.90911,14.544523,1911–1943
-43.536816,88.32505,1995–2023
16.966564,-28.72192,1911–1943
-10.045719,33.426044,1944–1977
8.982685,-51.313816,1846–1910
68.16041,-44.221107,1911–1943
45.152023,59.42498,1911–1943
47.32751,60.1773,1911–1943
-5.2154117,73.13672,1944–1977
89.215775,-41.457706,1911–1943
58.861675,85.11501,1911–1943
-6.1548553,68.05147,1944–1977
18.07596,-24.424484,1911–1943
74.7965,-53.056896,1911–1943
40.83088,47.38821,1911–1943
-24.816147,19.519588,1978–1994
39.76461,-8.77618,1911–1943
-6.2656054,56.712914,1944–1977
57.624542,-61.03295,1911–1943
72.37249,-52.214695,1911–1943
-88.55522,70.54464,1995–2023
71.00599,-5.0953774,1911–1943
-14.734683,-20.08187,1846–1910
-54.82392,-33.596462,1706–1764
50.506332,-64.00616,1911–1943
-0.8572821,-44.665558,1846–1910
-69.78268,-73.832695,1706–1764
-5.091842,-44.506824,1846–1910
49.17755,11.731327,1911–1943
-68.50477,-75.50403,pre-1652
90.49637,-3.8639333,1911–1943
70.46335,-21.530277,1911–1943
23.62476,49.576855,1944–1977
-38.157013,-24.00511,1846–1910
2.599408,15.8471365,1911–1943
28.604834,-22.757082,1911–1943
-37.506107,9.379773,1978–1994
-47.83692,-18.277523,1846–1910
39.265976,-59.561527,1911–1943
14.72363,-40.787834,1911–1943
-50.418434,49.886177,1995–2023
-5.519026,1.6762233,1911–1943
39.250725,93.87303,1911–1943
9.422622,70.90923,1944–1977
-5.13194,-18.17788,1911–1943
83.334785,-66.512505,1911–1943
12.93846,-31.520351,1846–1910
70.20279,49.55032,1911–1943
-37.051704,-51.997833,1846–1910
-13.380531,30.98825,1944–1977
0.944092,-4.5130763,1911–1943
-34.028954,83.15745,1995–2023
30.381979,-72.52506,1911–1943
-87.84281,-7.2413363,1978–1994
38.756157,-77.506645,1911–1943
-12.409329,-12.079685,1846–1910
71.955055,-32.839893,1911–1943
-7.4682612,41.587585,1944–1977
-61.501545,2.3285134,1978–1994
-54.284565,12.586708,1978–1994
40.737606,19.82088,1911–1943
4.5702143,-68.214676,1846–1910
-29.980587,-5.393941,1911–1943
-7.527874,-83.36878,1944–1977
-68.939026,77.456604,1995–2023
91.57334,-56.203823,1911–1943
4.5978627,-48.142776,1846–1910
99.59369,-19.250504,1911–1943
-42.63042,94.40472,1995–2023
17.47612,89.5373,1944–1977
-61.397396,72.00408,1995–2023
3.8827775,-80.36542,1846–1910
-18.646315,6.0881634,1911–1943
100.92335,-14.84339,1911–1943
-49.167503,-50.731182,1846–1910
-14.181766,-69.37062,1846–1910
-24.896467,-76.81138,1846–1910
-58.563183,-22.124102,1846–1910
28.049652,-3.597375,1911–1943
32.683125,49.30497,1911–1943
-2.0505104,-24.264704,1911–1943
34.813873,85.23243,1911–1943
12.047906,72.16938,1944–1977
-52.390274,-77.632256,pre-1652
88.40802,-6.3565445,1911–1943
7.768326,40.009293,1944–1977
-74.56511,28.977955,1995–2023
-31.22081,-48.632908,1911–1943
22.849163,-55.57054,1911–1943
-10.401096,8.870621,1911–1943
25.315077,-36.849396,1911–1943
-79.93192,20.533274,1995–2023
52.961422,64.066734,1995–2023
-21.13186,54.00983,1944–1977
-10.387391,-9.23678,1911–1943
14.324429,-80.70614,1846–1910
8.042701,5.61314,1911–1943
4.114923,-49.08235,1846–1910
18.000961,1.4671829,1911–1943
50.616386,29.519863,1911–1943
-61.96953,24.479465,1978–1994
43.1939,24.119513,1911–1943
42.533802,-48.171722,1911–1943
22.683943,6.542706,1911–1943
67.8918,-28.19662,1911–1943
-53.258842,-27.84877,1911–1943
49.257107,-1.986844,1911–1943
